Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1129,,,,MENS JACKETS,,,,BIKER JACKET,,,,NO SEASON,,,,,mens biker,,,,,,,,,,0.00,229.00
,,,S,,M,L,XL,,2XL,Total,,,,,,,,,,,,,,,,,,
,BLACK (47378),,0,,0,,,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,0,,,,,,,,,,,,,,,,,,
,BORDO (47393),,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,,,,0,,,,,,,,,,,,,,,,,,
,COGNAC (47408),,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1129-CONTRAST SAFARI,,,,MENS JACKETS,,,,LEATHER JACKET,,,,NO SEASON,,,,,SAFARI STYLE BUFFALO,,,,,,,,,,79.00,199.00
,,,XL,,2XL,Total,,,,,,,,,,,,,,,,,,,,,,
,BLACK (18088),,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
11319,,,,LUGGAGE,,,,RUCKSACK,,,,NO SEASON,,,,,backpack,,,,,,,,,,58.00,145.00
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (32031),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,CHESTNUT (32032),,-4,,-4,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,OILY BROWN (43734),,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,Total,,6,,6,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1132 BIKER,,,,LADIES JACKETS,,,,LEATHER JACKETS,,,,NO SEASON,,,,,ladies side zip biker,,,,,,,,,,47.94,242.61
,,,8,,10,12,14,,16,18,20,,22,,24,Total,,,,,,,,,,,,
,BLACK/APP (6422),,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,SOL,,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,WEB,2,,2,0,1,,1,2,2,,2,,2,14,,,,,,,,,,,,
,navada (49348),,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,WEB,1,,0,1,1,,1,1,1,,1,,1,8,,,,,,,,,,,,
,veg tan (48917),,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,SOL,,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
,,WEB,2,,3,2,1,,2,2,2,,1,,1,16,,,,,,,,,,,,
,Total,,5,,5,3,3,,4,5,5,,4,,4,38,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1133,,,,LADIES JACKETS,,,,LADIES JACKETS,,,,NO SEASON,,,,,ladies stip badge biker,,,,,,,,,,0.00,159.00
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BEIGE (47027),Ash,,,,0,,,,0,0,,,,,,,,,,,,,,,,,
,,WEB,,,0,1,5,,4,0,10,,,,,,,,,,,,,,,,,
,BLACK (47015),Ash,,,,,0,,0,,0,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,,,,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,,,,0,5,,1,1,7,,,,,,,,,,,,,,,,,
,BORDO (47039),Ash,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,
,,WEB,,,0,3,2,,0,0,5,,,,,,,,,,,,,,,,,
,RED (47051),Ash,,,,0,,,0,,0,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,SOL,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,1,,0,2,3,,0,,6,,,,,,,,,,,,,,,,,
,Total,,1,,0,6,15,,5,1,28,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1138,,,,LADIES JACKETS,,,,LEATHER JACKETS,,,,NO SEASON,,,,,ASHWOOD WRITING BOMBER,,,,,,,,,,10.00,139.00
,,,10,,12,14,Total,,,,,,,,,,,,,,,,,,,,,
,MULTI (16656),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1141,,,,LADIES JACKETS,,,,LADIES JACKETS,,,,NO SEASON,,,,,side zip biker,,,,,,,,,,0.00,189.00
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BEIGE (47075),,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,Ash,0,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,3,,1,3,1,,1,0,9,,,,,,,,,,,,,,,,,
,BLACK (47063),,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,Ash,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,1,,2,3,2,,0,,8,,,,,,,,,,,,,,,,,
,RED (47087),,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,Ash,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,,,6,4,4,,1,0,15,,,,,,,,,,,,,,,,,
,Total,,4,,9,10,7,,2,0,32,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1211 D,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,CLASSIC CARD WALLET,,,,,,,,,,4.95,19.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK/WAXY (853),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1211 S,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,CLASSIC CARD WALLET,,,,,,,,,,4.95,19.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK/SMO (814),Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BROWN/SMO (815),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,7,,7,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1211-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,8 CARD WALLET NO FASTEN,,,,,,,,,,7.90,54.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (10236),,-7,,-7,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,20,,20,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (10238),,-7,,-7,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,26,,26,,,,,,,,,,,,,,,,,,,,,,,
,TAN (10237),,-10,,-10,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,23,,23,,,,,,,,,,,,,,,,,,,,,,,
,Total,,54,,54,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1222 S,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,CLASSIC FOLD WALLET,,,,,,,,,,4.50,19.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK/SMO (816),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BROWN/SMO (817),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1222-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,STUD FASTEN NOTE ZIP 3 CARD,,,,,,,,,,7.90,54.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (10233),,-8,,-8,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (52663),,-7,,-7,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,TAN (10235),,-5,,-5,,,,,,,,,,,,,,,,,,,,,,,
,,Ash,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,7,,7,,,,,,,,,,,,,,,,,,,,,,,
,Total,,-6,,-6,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1246 D,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,BILL FOLD,,,,,,,,,,7.75,29.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK/WAXY (859),,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1246-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,STUD FASTEN MIDDLE FLAP,,,,,,,,,,11.96,29.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (10239),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,7,,7,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (10240),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,10,,10,,,,,,,,,,,,,,,,,,,,,,,
,TAN (10241),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,Total,,23,,23,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1251,,,,MENS JACKETS,,,,LEATHER JACKET,,,,NO SEASON,,,,,LOOSE BRANDO  SHEEP,,,,,,,,,,79.00,206.17
,,,XS,,S,M,L,,XL,2XL,3XL,,4XL,,5XL,Total,,,,,,,,,,,,
,CREAM/ANI (18144),,,,,,,,,,,,0,,,0,,,,,,,,,,,,
,DARK-BROWN/NAP (18158),,,,0,0,0,,0,,0,,,,0,0,,,,,,,,,,,,
,MID BROWN (10950),,,,0,0,0,,0,0,0,,0,,,0,,,,,,,,,,,,
,,ITOH,,,0,,0,,0,0,0,,0,,,0,,,,,,,,,,,,
,NAVY (18102),,,,,,,,0,,0,,,,,0,,,,,,,,,,,,
,SAND (18116),,,,0,,0,,0,0,0,,,,,0,,,,,,,,,,,,
,,Fen,,,0,,0,,0,0,,,,,,0,,,,,,,,,,,,
,,ITOH,,,0,,0,,0,0,0,,,,,0,,,,,,,,,,,,
,,SOL,0,,,,,,,0,,,,,,0,,,,,,,,,,,,
,,WEB,,,,,,,,,0,,,,,0,,,,,,,,,,,,
,TOBACCO (18130),,,,,0,0,,,0,0,,,,,0,,,,,,,,,,,,
,,Fen,,,,0,0,,,0,,,,,,0,,,,,,,,,,,,
,,ITOH,,,,0,0,,,0,0,,,,,0,,,,,,,,,,,,
,,SOL,,,,,,,0,0,0,,,,,0,,,,,,,,,,,,
,Total,,0,,0,0,0,,0,0,0,,0,,0,0,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1258-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,STUD FASTEN 8 CARD WALLET,,,,,,,,,,9.99,29.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (10242),,-25,,-25,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,8,,8,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (10243),,-21,,-21,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,6,,6,,,,,,,,,,,,,,,,,,,,,,,
,TAN (10244),,-18,,-18,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,7,,7,,,,,,,,,,,,,,,,,,,,,,,
,Total,,-36,,-36,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1265 S,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,TRI-FOLD WALLET,,,,,,,,,,4.95,19.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK/SMO (823),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BROWN/SMO (822),Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1265-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,CARD WALLET 9 CARD ZIP,,,,,,,,,,7.90,19.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (10246),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1275-vt,,,,ACCESSORIES,,,,WALLETS,,,,NO SEASON,,,,,card wallet,,,,,,,,,,9.95,24.99
,,,ONE SIZE,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (48051),,-4,,-4,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,6,,6,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (48052),,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,12,,12,,,,,,,,,,,,,,,,,,,,,,,
,TAN (48053),,-4,,-4,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,10,,10,,,,,,,,,,,,,,,,,,,,,,,
,Total,,24,,24,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1290 BG,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,CARD HOLDER,,,,,,,,,,4.50,14.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK/GREY/WAXY (841),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1290-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,SINGLE CARD WALLET,,,,,,,,,,5.90,14.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (10248),,-8,,-8,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,9,,9,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (10249),,-9,,-9,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,6,,6,,,,,,,,,,,,,,,,,,,,,,,
,TAN (10250),,-6,,-6,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,Total,,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1293-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,COIN WALLET,,,,,,,,,,4.80,12.00
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (10251),,-4,,-4,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,7,,7,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (10252),,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,TAN (10253),,-4,,-4,,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,3,,3,,,,,,,,,,,,,,,,,,,,,,,
,Total,,5,,5,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1296-VT,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,BREAST WALLET 22 CARD,,,,,,,,,,11.99,29.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (10254),,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
1298 S,,,,WALLETS,,,,WALLET,,,,NO SEASON,,,,,wallet,,,,,,,,,,5.00,39.99
,,,NA,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BLACK (19014),Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,4,,4,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (19015),Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,SOL,5,,5,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,Total,,9,,9,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
130,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,LADIES GLOVES,,,,,,,,,,9.95,24.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,BLACK (2903),,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,BROWN (2917),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,7,0,7,,,,,,,,,,,,,,,,,,,,,
,CAMEL (28878),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
